Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
0	-95.26667	18.448004	-9.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	94.26667	100.0	99	-0.38070667	0.15181029	0.10888461	-0.7228176	-0.38498583	0.14162025	0.019733813	-0.7110848	-4.0964613	0.30478048	-1.9266758	-9.448381	-0.4299225	0.02578567	716.1457312107086
1	-92.666664	22.869678	-8.0	-100.0	0.0	0.1	0.033333335	-100.0	0.0	-100.0	-100.0	91.666664	100.0	99	-0.9915311	0.23842396	-0.41737455	-1.7546781	-0.9915813	0.2389529	-0.4136179	-1.7577488	-4.0978184	0.28686753	-3.1702576	-9.431121	0.18258098	0.09917912	1441.2939097881317
2	-91.933334	21.739264	-7.0	-100.0	0.0	0.13333334	0.0	-100.0	0.0	-100.0	-100.0	90.933334	100.0	53	-1.6659857	0.32421714	-0.6240511	-3.4785614	-1.6660596	0.32567063	-0.65616155	-2.8799055	-4.0980415	0.2912259	-3.0877295	-10.856194	0.86724883	0.23959027	2160.0556778907776
3	-94.26667	15.819679	-39.0	-100.0	0.0	0.13333334	0.0	-50.0	0.0	-50.0	-50.0	93.26667	50.0	99	-2.2393694	0.5305077	-0.6420029	-3.9724205	-2.2394617	0.5336038	-0.66322404	-3.9733622	-4.0916533	0.31453767	-2.801436	-8.566436	1.457248	0.37690037	2886.790979862213
4	-90.73333	25.014574	-7.0	-100.0	0.0	0.13333334	0.0	-50.0	0.0	-50.0	-50.0	89.73333	50.0	99	-2.74964	0.8320591	-0.6814502	-5.091431	-2.749685	0.8337052	-0.67284936	-5.189758	-4.0877676	0.3279946	-2.6011453	-10.338111	1.9933517	0.4714446	3587.414345264435
5	-88.96667	23.265831	-10.0	-100.0	0.0	0.2	0.0	-50.0	0.0	-50.0	-50.0	87.96667	50.0	99	-3.2438278	1.1648307	-0.6508743	-6.198472	-3.2440474	1.1657367	-0.6028124	-6.3744545	-4.049771	0.42006135	-2.0782576	-11.325653	2.506703	0.5509302	4280.884277105331
6	-95.23333	18.008669	-9.0	-100.0	0.0	0.16666667	0.0	-9.0	0.0	-9.0	-9.0	94.23333	9.0	99	-3.5992036	1.4979465	-0.6981746	-7.163979	-3.5992467	1.4988503	-0.6261545	-7.2975435	-3.924954	0.62125814	-1.7844005	-9.937944	2.8452802	0.6064273	5005.928083896637
7	-91.96667	16.734163	-53.0	-100.0	0.0	0.2	0.0	-9.0	0.0	-9.0	-9.0	90.96667	9.0	99	-3.7959025	1.8269298	-0.669641	-8.387921	-3.796035	1.8270006	-0.60253096	-8.108974	-3.8233595	0.73898166	-0.9694748	-11.45899	3.0201745	0.58917564	5710.307042837143
8	-93.933334	15.290375	-53.0	-100.0	0.0	0.2	0.0	-100.0	0.0	-100.0	-100.0	92.933334	100.0	99	-3.9277222	2.1305678	-0.63229346	-9.19956	-3.92778	2.1299694	-0.49936205	-9.040861	-3.7642593	0.794183	-0.75515556	-9.472885	3.1405187	0.5438861	6446.6720769405365
9	-93.8	19.468609	-9.0	-100.0	0.0	0.13333334	0.0	-53.0	0.0	-53.0	-53.0	92.8	53.0	99	-4.0735545	2.4325209	-0.55487406	-10.386149	-4.0735526	2.4326777	-0.47452205	-10.448888	-3.7613611	0.798365	-0.6906662	-11.023418	3.292998	0.5361029	7176.387778997421
