Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
0	-79.933334	31.117987	-8.0	-100.0	0.0	0.33333334	0.26666668	-100.0	0.0	-100.0	-100.0	78.933334	100.0	99	-0.3586149	0.1425489	0.10887505	-0.64645207	-0.36345646	0.13124499	0.019724794	-0.64909947	-4.095669	0.30802473	-1.9262991	-9.442009	-0.451204	0.023896504	605.7225573062897
1	-80.7	29.026598	-7.0	-100.0	0.0	0.36666667	0.26666668	-42.0	0.0	-42.0	-42.0	79.7	42.0	99	-0.955813	0.2337491	-0.44227085	-1.7258828	-0.95585746	0.23507379	-0.4397006	-1.709144	-4.0976467	0.2962781	-3.0434437	-9.453256	0.14603052	0.09191567	1225.8344321250916
2	-64.566666	33.85723	-10.0	-100.0	0.0	0.6	0.53333336	-20.0	0.0	-20.0	-20.0	63.566666	20.0	55	-1.6437749	0.3053176	-0.6073572	-2.8878942	-1.6436265	0.30874392	-0.586255	-2.9506605	-4.088107	0.33015093	-2.7143154	-8.570421	0.8428167	0.23061915	1738.1768245697021
3	-32.1	30.594498	-4.0	-100.0	0.0	0.9	0.73333335	-6.0	0.0	-6.0	-6.0	31.1	6.0	25	-2.1784327	0.52798134	-0.7024629	-4.1765933	-2.1786034	0.5321789	-0.6962111	-3.9996939	-4.030039	0.47569022	-1.5849514	-9.078094	1.3838581	0.3732066	2019.8871579170227
4	-22.633333	20.667984	-8.0	-100.0	0.0	0.96666664	0.8666667	-8.0	0.0	-8.0	-8.0	21.633333	8.0	9	-2.5613666	0.8676741	-0.5734955	-5.3593526	-2.5619078	0.8697557	-0.637733	-5.0829124	-3.939145	0.62483823	0.14173031	-11.231225	1.7698104	0.45678517	2236.7357320785522
5	-25.133333	23.433214	-6.0	-100.0	0.0	0.93333334	0.9	-8.0	0.0	-8.0	-8.0	24.133333	8.0	6	-2.8879488	1.2406826	-0.5038502	-6.1006374	-2.8882499	1.2406079	-0.48806775	-6.023624	-3.9167688	0.6531994	-0.041134357	-12.863812	2.116967	0.49033484	2473.9317581653595
6	-21.6	12.454183	-7.0	-56.0	0.0	1.0	0.8333333	-7.0	0.0	-7.0	-7.0	20.6	7.0	29	-3.1753297	1.5630863	-0.4766606	-7.2127166	-3.1753156	1.5631695	-0.44641632	-7.127217	-3.8630211	0.7122862	0.84342337	-11.066448	2.4090075	0.52514887	2685.5591473579407
7	-21.233334	12.327972	-6.0	-59.0	0.0	1.0	0.93333334	-7.0	0.0	-7.0	-7.0	20.233334	7.0	7	-3.3678374	1.8690388	-0.44552147	-8.117543	-3.3681133	1.8683645	-0.4169467	-8.167998	-3.7923744	0.77193236	-0.14640617	-11.726255	2.5946395	0.5352466	2894.240869283676
8	-27.066668	29.747757	-6.0	-100.0	0.0	0.8666667	0.8333333	-7.0	0.0	-7.0	-7.0	26.066668	7.0	10	-3.5269434	2.1504004	-0.38775006	-10.035818	-3.5269372	2.1496463	-0.4040534	-9.85694	-3.7335804	0.8173224	-0.6975465	-10.925414	2.7504861	0.525032	3144.575612306595
9	-25.2	26.273434	-6.0	-100.0	0.0	0.9	0.9	-8.0	0.0	-8.0	-8.0	24.2	8.0	9	-3.6885808	2.4165661	-0.3825924	-11.088117	-3.6884823	2.4163096	-0.37919593	-10.802212	-3.7209427	0.83545154	-0.50636244	-12.556068	2.9126048	0.54025316	3380.468872308731
10	-21.733334	18.987597	-6.0	-100.0	0.0	0.96666664	0.93333334	-7.0	0.0	-7.0	-7.0	20.733334	7.0	16	-3.7759278	2.654587	-0.3415873	-11.629731	-3.775702	2.6543517	-0.36547178	-11.672464	-3.6999283	0.85186595	-0.52578306	-11.829808	3.000953	0.513525	3594.654893398285
11	-26.866667	25.726423	-7.0	-100.0	0.0	0.9	0.9	-6.0	0.0	-6.0	-6.0	25.866667	6.0	26	-3.9017298	2.8845592	-0.33390337	-12.2316675	-3.9016838	2.8834884	-0.35092843	-12.134861	-3.6941688	0.8601408	1.766077	-10.257044	3.1345963	0.5274166	3842.1776847839355
12	-19.466667	22.39603	-6.0	-100.0	0.0	0.93333334	0.8666667	-4.0	0.0	-4.0	-4.0	18.466667	4.0	8	-3.9723897	3.065683	-0.3204556	-13.377401	-3.972399	3.0649495	-0.3051089	-12.908706	-3.6802583	0.8660162	1.2086773	-11.442613	3.205587	0.5093095	4037.796895265579
13	-23.2	26.141157	-7.0	-100.0	0.0	0.9	0.8	-7.0	0.0	-7.0	-7.0	22.2	7.0	8	-4.058718	3.2350857	-0.30918288	-13.6017475	-4.05929	3.2342107	-0.3012344	-13.627676	-3.6645555	0.8783834	0.75717354	-10.367447	3.2962773	0.50992256	4259.951619386673
14	-28.633333	30.518284	-7.0	-100.0	0.0	0.8666667	0.8	-6.0	0.0	-6.0	-6.0	27.633333	6.0	8	-4.131937	3.3492537	-0.30333415	-13.968839	-4.132004	3.3482814	-0.27355012	-13.935422	-3.6584313	0.8794024	1.3519378	-11.559461	3.3717172	0.49742916	4521.1508848667145
15	-16.133333	16.072199	-7.0	-100.0	0.0	0.96666664	0.93333334	-7.0	0.0	-7.0	-7.0	15.133333	7.0	7	-4.1747975	3.426673	-0.28023636	-14.41709	-4.1750917	3.4257421	-0.2836588	-14.487465	-3.6488554	0.87614256	0.32137203	-10.401561	3.4158757	0.505266	4695.187336921692
16	-13.466666	7.2605476	-6.0	-36.0	0.0	1.0	1.0	-6.0	0.0	-6.0	-6.0	12.466666	6.0	6	-4.2013507	3.5252185	-0.23326571	-14.945859	-4.201632	3.524541	-0.22587195	-14.655529	-3.6388009	0.89014584	0.35841942	-11.102636	3.4418156	0.49889532	4848.0332243442535
17	-14.8	16.799603	-6.0	-100.0	0.0	0.96666664	0.96666664	-5.0	0.0	-5.0	-5.0	13.8	5.0	10	-4.2141123	3.590761	-0.24859911	-15.30762	-4.214207	3.5897098	-0.23903625	-15.0732	-3.6259632	0.90457624	-0.34736443	-13.566341	3.453687	0.48867008	5013.573154211044
18	-14.366667	16.622238	-6.0	-100.0	0.0	0.96666664	0.9	-6.0	0.0	-6.0	-6.0	13.366667	6.0	9	-4.219382	3.6459117	-0.24668247	-15.213419	-4.2193117	3.6450272	-0.21474579	-15.207154	-3.616565	0.9042996	0.78604984	-11.182655	3.4578	0.46759248	5174.134347677231
19	-12.0	5.033223	-6.0	-23.0	0.0	1.0	0.9	-100.0	0.0	-100.0	-100.0	11.0	100.0	8	-4.2301655	3.6726706	-0.22793648	-15.62478	-4.2302613	3.6723838	-0.22950917	-15.628826	-3.6181376	0.9044209	0.45446587	-11.585205	3.4706998	0.46249643	5339.012666225433
20	-10.566667	4.4697747	-6.0	-24.0	0.0	1.0	0.93333334	-5.0	0.0	-5.0	-5.0	9.566667	5.0	23	-4.2249546	3.6801424	-0.24370019	-15.736555	-4.225461	3.6788568	-0.235718	-15.595798	-3.6123595	0.91619366	0.17207146	-13.842298	3.4659429	0.4609964	5473.847784996033
21	-10.7	4.450843	-4.0	-26.0	0.0	1.0	0.96666664	-6.0	0.0	-6.0	-6.0	9.7	6.0	11	-4.2014685	3.681117	-0.2322137	-15.72641	-4.2014422	3.6798968	-0.23970029	-15.899307	-3.6093078	0.91531384	0.40825176	-10.127338	3.4492671	0.465696	5608.403728485107
22	-11.066667	4.843782	-6.0	-24.0	0.0	1.0	1.0	-6.0	0.0	-6.0	-6.0	10.066667	6.0	17	-4.1963444	3.6752498	-0.22521608	-15.8100605	-4.1963544	3.6740708	-0.21179968	-15.64076	-3.6065795	0.9169583	0.89012814	-10.143549	3.4471436	0.46216887	5746.973070144653
