Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
0	-100.0	0.0	-100.0	-100.0	0.0	0.0	0.0	-100.0	0.0	-100.0	-100.0	99.0	100.0	99	-0.4156928	0.1709489	0.1088818	-0.7667184	-0.4195663	0.16216566	0.019698907	-0.7649843	-4.0967236	0.3030533	-1.926815	-9.478508	-0.39414537	0.02816003	746.764591217041
1	-95.5	17.897392	-9.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	94.5	100.0	99	-1.0671965	0.23196758	-0.4553662	-1.7853475	-1.0673347	0.23243341	-0.4563957	-1.7921584	-4.099408	0.2896725	-3.1369152	-9.456417	0.25944445	0.10946978	1488.6331813335419
2	-92.5	23.69353	-8.0	-100.0	0.0	0.13333334	0.0	-59.0	0.0	-59.0	-59.0	91.5	59.0	99	-1.7422485	0.28257912	-0.5850599	-2.7896986	-1.7423772	0.2849358	-0.5878898	-2.816629	-4.098814	0.29692706	-3.0384235	-8.840495	0.9467792	0.26038203	2206.36127948761
3	-93.933334	18.420883	-9.0	-100.0	0.0	0.13333334	0.0	-66.0	0.0	-66.0	-66.0	92.933334	66.0	58	-2.313783	0.42954248	-0.61435556	-4.2344213	-2.3138711	0.43460366	-0.6570541	-4.2236886	-4.092063	0.31308645	-2.8034353	-10.103096	1.542617	0.4220622	2936.256069421768
4	-86.933334	28.507233	-8.0	-100.0	0.0	0.2	0.0	-100.0	0.0	-100.0	-100.0	85.933334	100.0	99	-2.8257098	0.7312046	-0.60204196	-5.4911294	-2.8255775	0.7356143	-0.6269176	-5.5985155	-4.0858903	0.33271855	-2.810566	-8.927918	2.0917351	0.5352195	3624.925103664398
5	-87.8	28.855272	-7.0	-100.0	0.0	0.16666667	0.033333335	-56.0	0.0	-56.0	-56.0	86.8	56.0	99	-3.387865	1.0849693	-0.5593979	-6.4875727	-3.3873992	1.0866511	-0.5863387	-6.4590006	-4.0794706	0.34725004	-2.5769796	-10.183989	2.6931145	0.5991802	4308.218407392502
6	-79.066666	34.926525	-7.0	-100.0	0.0	0.3	0.033333335	-10.0	0.0	-10.0	-10.0	78.066666	10.0	99	-3.9538786	1.4449332	-0.56401443	-7.715953	-3.9538891	1.4434717	-0.61928236	-7.5315595	-4.0589414	0.40415764	-1.744741	-8.848766	3.2926934	0.6736716	4922.462468147278
7	-98.23333	8.309365	-54.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	97.23333	100.0	99	-4.5401897	1.7667398	-0.4280672	-8.795731	-4.539997	1.7618965	-0.58577716	-8.420188	-4.0132136	0.49787703	-0.9547348	-10.2668295	3.9005306	0.7501181	5695.997861146927
8	-90.8	24.357615	-6.0	-100.0	0.0	0.16666667	0.0	-100.0	0.0	-100.0	-100.0	89.8	100.0	99	-5.072991	2.080183	-0.37445408	-9.185701	-5.0735908	2.0794554	-0.44625583	-9.179906	-3.955419	0.5989138	-0.60765505	-9.621164	4.4461455	0.8095278	6416.818503141403
9	-92.46667	23.596235	-9.0	-100.0	0.0	0.1	0.0	-100.0	0.0	-100.0	-100.0	91.46667	100.0	99	-5.5279136	2.39713	-0.32676148	-10.206495	-5.5277267	2.3999183	-0.38989872	-10.065145	-3.872641	0.7109864	0.12430525	-9.431395	4.904148	0.8462204	7146.319509983063
10	-93.8	23.199715	-6.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	92.8	100.0	7	-5.8177304	2.7462978	-0.2924341	-11.121782	-5.8181424	2.7482774	-0.30937564	-11.121637	-3.7672338	0.8353567	0.59593105	-10.27964	5.188972	0.8312129	7883.684121370316
11	-99.166664	4.4876375	-75.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	98.166664	100.0	99	-6.1079655	3.0623844	-0.26844105	-11.913965	-6.1082325	3.063951	-0.2788521	-11.874973	-3.7088866	0.8912422	0.13472843	-10.280024	5.487492	0.8086788	8661.738196134567
12	-98.5	8.077747	-55.0	-100.0	0.0	0.033333335	0.0	-100.0	0.0	-100.0	-100.0	97.5	100.0	99	-6.4296584	3.341462	-0.23446696	-13.202846	-6.430006	3.3418224	-0.24498998	-13.197951	-3.7172484	0.87780505	0.13857937	-10.496355	5.828003	0.8527109	9416.707938671112
13	-94.566666	18.150639	-10.0	-100.0	0.0	0.13333334	0.0	-100.0	0.0	-100.0	-100.0	93.566666	100.0	99	-6.7780266	3.6274335	-0.25139895	-14.316243	-6.777745	3.6293416	-0.2206537	-14.2021055	-3.7073677	0.87743187	0.16724682	-9.915342	6.1976666	0.93161345	10159.572054386139
14	-94.86667	17.930857	-10.0	-100.0	0.0	0.1	0.0	-100.0	0.0	-100.0	-100.0	93.86667	100.0	99	-7.1062264	3.8837585	-0.23119868	-15.189924	-7.106582	3.883443	-0.21246776	-15.254962	-3.709947	0.870931	-0.209836	-11.769323	6.538874	0.98542005	10906.962783575058
15	-95.36667	18.203451	-9.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	94.36667	100.0	99	-7.4743333	4.129955	-0.18176451	-16.028185	-7.474716	4.129868	-0.22813012	-15.949495	-3.7158134	0.8606465	-0.031917572	-11.16247	6.9214144	1.0596153	11656.898964643478
16	-97.8	8.486853	-59.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	96.8	100.0	99	-7.858586	4.3804965	-0.17814638	-16.865215	-7.858536	4.379947	-0.21056104	-16.758257	-3.726194	0.850184	-0.42086506	-10.814982	7.3250113	1.1349614	12424.259342193604
17	-100.0	0.0	-100.0	-100.0	0.0	0.0	0.0	-100.0	0.0	-100.0	-100.0	99.0	100.0	99	-8.152286	4.6116095	-0.18976787	-17.739428	-8.152363	4.6113863	-0.19010037	-17.818964	-3.6570728	0.92173266	0.95261	-10.902986	7.6096606	1.1647884	13210.959830760956
18	-97.76667	9.156722	-52.0	-100.0	0.0	0.06666667	0.0	-96.0	0.0	-96.0	-96.0	96.76667	96.0	99	-8.114436	4.8899865	-0.14074814	-18.648079	-8.11451	4.8887067	-0.20237412	-18.576256	-3.4716358	1.0839301	1.2537136	-11.73676	7.5193286	0.9983647	13980.222938299179
19	-97.2	11.08272	-44.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	96.2	100.0	99	-8.092492	5.158503	-0.12592752	-19.415337	-8.092784	5.157033	-0.15704602	-19.202475	-3.430147	1.1158779	1.2966404	-11.925962	7.4885497	0.8548652	14748.313969612122
20	-95.833336	16.745316	-10.0	-100.0	0.0	0.1	0.0	-68.0	0.0	-68.0	-68.0	94.833336	68.0	99	-8.201029	5.3974795	-0.12140283	-20.409412	-8.200905	5.3968253	-0.11547002	-20.212887	-3.495358	1.0633657	1.1573143	-12.355011	7.612662	0.839699	15498.916906833649
21	-95.76667	17.465551	-8.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	94.76667	100.0	99	-8.338042	5.5868134	-0.10481518	-21.309816	-8.338149	5.586166	-0.12112113	-21.307886	-3.5542798	1.0126905	0.46182823	-11.038424	7.7675457	0.90213805	16255.97578048706
22	-93.9	22.824474	-8.0	-100.0	0.0	0.06666667	0.0	-100.0	0.0	-100.0	-100.0	92.9	100.0	99	-8.600739	5.79447	-0.106374495	-22.53544	-8.60072	5.7942314	-0.117862165	-22.537127	-3.6047742	0.9606337	0.0407238	-11.970559	8.048884	0.9686556	16997.591992855072
