Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	GoalReached	Collided	CriticallyCollided	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
0	-74.8	35.35854	-8.0	-100.0	0.0	0.36666667	0.3	-100.0	0.0	-100.0	-100.0	73.8	100.0	99	-0.3570014	0.14078562	0.108862594	-0.6819351	-0.3618845	0.1292676	0.019689102	-0.6552286	-4.095729	0.3068194	-1.9265442	-9.547037	-0.4531495	0.023877611	565.8846700191498
1	-85.76667	28.802412	-10.0	-100.0	0.0	0.26666668	0.26666668	-29.0	0.0	-29.0	-29.0	84.76667	29.0	99	-0.95736825	0.2347617	-0.4375968	-1.7907444	-0.9575289	0.23549785	-0.38898817	-1.6870656	-4.0977573	0.2883423	-3.174532	-9.485765	0.14910074	0.08967552	1220.2936789989471
2	-60.466667	34.604176	-11.0	-100.0	0.0	0.6333333	0.6333333	-19.0	0.0	-19.0	-19.0	59.466667	19.0	29	-1.6345057	0.25202736	-0.5303416	-2.5686693	-1.6346141	0.25485724	-0.4326045	-2.7068706	-4.0930104	0.30551067	-3.0689907	-8.233822	0.83574253	0.24788256	1701.359850883484
3	-41.733334	34.647686	-6.0	-100.0	0.0	0.8	0.73333335	-6.0	0.0	-6.0	-6.0	40.733334	6.0	9	-2.1496184	0.36856127	-0.40865085	-3.8950872	-2.149794	0.3698933	-0.4072568	-3.9018903	-4.0642834	0.38211253	-1.9374042	-8.828992	1.3681313	0.417764	2048.810162305832
4	-40.766666	36.4387	-7.0	-100.0	0.0	0.8	0.7	-6.0	0.0	-6.0	-6.0	39.766666	6.0	23	-2.5863595	0.6042893	-0.49510875	-5.3608556	-2.5863109	0.60578203	-0.32626358	-5.170623	-4.034334	0.45182282	-1.7883787	-10.277644	1.8338186	0.55528075	2390.738957643509
5	-37.166668	35.360134	-7.0	-100.0	0.0	0.8	0.7	-8.0	0.0	-8.0	-8.0	36.166668	8.0	30	-3.047737	0.93152755	-0.5013166	-6.197087	-3.0478306	0.9339566	-0.35801062	-6.2312484	-4.023676	0.47494084	-1.486166	-11.104914	2.3371496	0.69746035	2709.628226041794
6	-48.566666	40.256413	-7.0	-100.0	0.0	0.6333333	0.6	-32.0	0.0	-32.0	-32.0	47.566666	32.0	17	-3.569721	1.296639	-0.5846153	-7.3058987	-3.5696626	1.2990562	-0.3169862	-7.3081117	-4.028352	0.47051346	-1.2452035	-9.931844	2.9011738	0.8052659	3112.2447967529297
7	-62.866665	41.372883	-6.0	-100.0	0.0	0.5	0.4	-43.0	0.0	-43.0	-43.0	61.866665	43.0	99	-4.211372	1.6385435	-0.49083257	-8.002724	-4.210738	1.6381346	-0.3843748	-7.9668217	-4.027762	0.4746199	-0.40395737	-9.534254	3.585304	0.94056255	3620.4495730400085
8	-65.63333	41.52708	-7.0	-100.0	0.0	0.43333334	0.4	-100.0	0.0	-100.0	-100.0	64.63333	100.0	99	-4.8868446	1.9457506	-0.41413814	-9.068867	-4.886847	1.9398569	-0.38868612	-8.782002	-3.9998262	0.5276378	-0.35285568	-10.188749	4.3060775	1.1039009	4161.092061758041
9	-76.76667	36.488064	-11.0	-100.0	0.0	0.3	0.23333333	-8.0	0.0	-8.0	-8.0	75.76667	8.0	11	-5.5161085	2.2601275	-0.3984515	-9.708468	-5.51623	2.256872	-0.400405	-9.621816	-3.979399	0.5619937	0.33446264	-9.504623	4.9645095	1.1933167	4760.507215499878
10	-65.833336	38.893085	-7.0	-100.0	0.0	0.5	0.36666667	-11.0	0.0	-11.0	-11.0	64.833336	11.0	17	-6.0753555	2.5970225	-0.33355585	-10.373747	-6.075672	2.5949564	-0.33561948	-10.383316	-3.9235551	0.654751	0.399127	-10.422637	5.548218	1.1973546	5285.140783548355
11	-80.166664	32.219128	-9.0	-100.0	0.0	0.33333334	0.3	-17.0	0.0	-17.0	-17.0	79.166664	17.0	74	-6.5929165	2.9106264	-0.3277283	-11.3282385	-6.5925126	2.9118407	-0.32986823	-11.146949	-3.8571606	0.74233174	0.36796427	-9.755429	6.0824895	1.2289791	5906.920620203018
12	-69.333336	35.76435	-8.0	-100.0	0.0	0.5	0.36666667	-15.0	0.0	-15.0	-15.0	68.333336	15.0	14	-7.0013413	3.2094686	-0.30152398	-11.884048	-7.0015006	3.2065778	-0.32570735	-11.867404	-3.7862577	0.82895786	1.0623608	-11.254198	6.49771	1.206119	6451.2533659935
13	-62.233334	39.61286	-7.0	-100.0	0.0	0.53333336	0.5	-7.0	0.0	-7.0	-7.0	61.233334	7.0	25	-7.3750324	3.478953	-0.2451419	-12.388033	-7.3748546	3.4746444	-0.2894614	-12.288075	-3.7111378	0.9066911	0.9086237	-11.48546	6.872387	1.1782223	6945.0301904678345
