Name,ID
B0,1
EE0,2
MXL,3
ML,4
MS,5
MXS,6
L_180_600_LL,7
L_180_600_LS,8
L_180_600_SS,9
L_180_400_LL,10
L_180_400_LS,11
L_180_400_SS,12
L_180_compact_LL,13
L_180_compact_LS,14
L_180_compact_SS,15
L_90L_600_LL,16
L_90L_600_LS,17
L_90L_600_SS,18
L_90L_400_LL,19
L_90L_400_LS,20
L_90L_400_SS,21
L_90L_250_LL,22
L_90L_250_LS,23
L_90L_250_SS,24
L_90L_compact_LL,25
L_90L_compact_LS,26
L_90L_compact_SS,27
L_90S_600_LL,28
L_90S_600_LS,29
L_90S_600_SS,30
L_90S_400_LL,31
L_90S_400_LS,32
L_90S_400_SS,33
L_90S_250_LL,34
L_90S_250_LS,35
L_90S_250_SS,36
L_90S_compact_LL,37
L_90S_compact_LS,38
L_90S_compact_SS,39
L_360_600_LL,40
L_360_600_LS,41
L_360_600_SS,42
L_360_400_LL,43
L_360_400_LS,44
L_360_400_SS,45
L_360_250_LL,46
L_360_250_LS,47
L_360_250_SS,48
L_360_compact_LL,49
L_360_compact_LS,50
L_360_compact_SS,51
L_wrist_1,52
L_wrist_2,53
L_wrist_3,54
L_Rasmus_01_90_LL,55
L_Rasmus_02_90_SS,56
L_360_350_LS,57
L_360_300_LS,58
B_simple,59
B_90,60
E_Schimaneck,61
E_Schunk,62
MXL+90,63
L_360_400_LL_actual,64
L_360_300_LS_actual,65
L_90S_compact_LL_actual,66
L_90L_250_LS_actual,67
