Name,ID,typ,Cplx,CANidTX,CANidRX,a_pl,alpha_pl,p_pl,n_pl,delta_pl,a_dl,alpha_dl,p_dl,n_dl,delta_dl,jt,delta_j,Ujl,Ljl,m_pl,I_pl_xx,I_pl_xy,I_pl_xz,I_pl_yx,I_pl_yy,I_pl_yz,I_pl_zx,I_pl_zy,I_pl_zz,r_com_pl_x,r_com_pl_y,r_com_pl_z,m_dl,I_dl_xx,I_dl_xy,I_dl_xz,I_dl_yx,I_dl_yy,I_dl_yz,I_dl_zx,I_dl_zy,I_dl_zz,r_com_dl_x,r_com_dl_y,r_com_dl_z,Im,jbc,jbv,k_tau,k_r,tau_lim,curr_lim,dq_lim,ddq_lim,InputConnectorSize,OutputConnectorSize,encRes,currFactor,collision_size_x,collision_size_y,collision_size_z,collision_pos_x,collision_pos_y,collision_pos_z
B0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MXL,3,1,0,0,0,0,0,0,0,0,0,0,-0.1353,0,0,0,0,3.141592654,-3.141592654,2.795,0.014,-2.08e-06,-3.34e-06,-2.08e-06,0.014,4.85e-06,-3.34e-06,4.85e-06,0.004,0.00018,0.00013,0.0543,0.588,0.00084,4.47e-07,-1.1e-05,4.47e-07,0.000833,-8.53e-07,-1.1e-05,-8.53e-07,0.000732,0.00063,0.00019,-0.00966,0.00037,36.56,51.46,0.13,160,205.92,11,1.89,0,2,2,262144,0.01556,0.109999999403954,0.109999999403954,0.205480013042688,0,0,-0.080150006338954
ML,4,1,0,0,0,0,0,0,0,0,0,0,-0.1276,0,0,0,0,3.141592654,-3.141592654,2.1393,0.009,1.83e-06,-1.75e-06,1.83e-06,0.008,2.39e-05,-1.75e-06,2.39e-05,0.002,2.5e-05,0.00103,0.0504,0.4736,0.000536,-7.19e-08,-3.7e-08,-7.19e-08,0.000536,2.67e-08,-3.7e-08,2.67e-08,0.000564,-3e-05,1e-05,-0.0159,0.000149,18.4,12.59,0.106,160,106.56,7,2.35,0,2,2,262144,0.0099,0.109999999403954,0.109999999403954,0.197780001908541,0,0,-0.0763000007718801
MS,5,1,0,0,0,0,0,0,0,0,0,0,-0.11955,0,0,0,0,3.141592654,-3.141592654,1.25338,0.004,3.99e-07,1.6e-05,3.99e-07,0.005,-5.67e-08,1.6e-05,-5.67e-08,0.000808,0.00061,8e-05,0.04714,0.2894,0.000178,-5.21e-08,-3.31e-08,-5.21e-08,0.000178,5.84e-09,-3.13e-08,5.84e-09,0.000192,-4.4e-05,-8e-06,-0.001115,4.45e-05,6.019,13.17,0.098,120,54,5,3.05,0,1,1,131072,0.0070922,0.0860000029206276,0.0860000029206276,0.189729990437627,0,0,-0.0722749968990684
MXS,6,1,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,3.141592654,-3.141592654,1,0.004,3.99e-07,1.6e-05,3.99e-07,0.005,-5.67e-08,1.6e-05,-5.67e-08,0.000808,0.00061,8e-05,0.04714,0.2,0.000178,-5.21e-08,-3.31e-08,-5.21e-08,0.000178,5.84e-09,-3.13e-08,5.84e-09,0.000192,-4.4e-05,-8e-06,-0.001115,4.45e-05,0,0,0.8,120,24,0,1.89,0,1,1,131072,1,0.0860000029206276,0.0860000029206276,0.1825300026685,0,0,-0.0826750015839934
L_180_600_LL,7,2,1,0,0,0.6,0,0,-0.13,0,0,0,0,0,0,0,0,0,0,2.5488693,0.03662967,-0.03896327,0.08839804,-0.03896327,0.34920703,0.01085227,0.08839804,0.01085227,0.3263972,0.29771903,0.03655164,-0.06502019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.712000019848347,0.111946776509285,0.324000000953674,-0.300000008195639,0,0.0649999976158142
L_180_600_LS,8,2,1,0,0,0.6,0,0,-0.13,0,0,0,0,0,0,0,0,0,0,2.4904991,0.02992547,3.84e-06,0.08328114,3.84e-06,0.33191467,-1.65e-06,0.08328114,-1.65e-06,0.30581755,0.29321582,-3.77e-06,-0.06256407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.700000017881393,0.111946776509285,0.324999995529652,-0.306000009179115,0,0.0645000003278255
L_180_600_SS,9,2,1,0,0,0.6,0,0,-0.13,0,0,0,0,0,0,0,0,0,0,2.4322153,0.02958998,3.85e-06,0.08335322,3.85e-06,0.33156019,-1.65e-06,0.08335322,-1.65e-06,0.30537444,0.29994337,-3.81e-06,-0.06504177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.675288032740355,0.0879284888505936,0.373285710811615,-0.293787086382508,0,0.0889615118503571
L_180_400_LL,10,2,1,0,0,0.4,0,0,-0.13,0,0,0,0,0,0,0,0,0,0,1.9570356,0.02690743,-0.01332648,0.04564787,-0.01332648,0.13382318,0.00560347,0.04564787,0.00560347,0.11361289,0.19848991,0.02436672,-0.06503684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.512000001966953,0.111946776509285,0.324000000953674,-0.199999999254942,0,0.0649999976158142
